AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2021,1,76,VALLE DEL CAUCA,76147,CARTAGO,24867,141993,"17,51"
2023,2,25,CUNDINAMARCA,25777,SUPATÁ,225,6040,"3,73"
2023,1,52,NARIÑO,52683,SANDONÁ,680,21244,"3,20"
2022,3,68,SANTANDER,68549,PINCHOTE,684,5407,"12,65"
2021,1,19,CAUCA,19290,FLORENCIA,796,5340,"14,91"
2022,1,76,VALLE DEL CAUCA,76001,CALI,569605,2276124,"25,03"
2022,4,05,ANTIOQUIA,05649,SAN CARLOS,1929,16687,"11,56"
2021,4,41,HUILA,41298,GARZÓN,5870,75976,"7,73"
2021,4,68,SANTANDER,68132,CALIFORNIA,70,2207,"3,17"
2021,2,25,CUNDINAMARCA,25599,APULO,616,8955,"6,88"
2021,4,15,BOYACÁ,15092,BETÉITIVA,22,1995,"1,10"
2021,1,73,TOLIMA,73547,PIEDRAS,34,6960,"0,49"
2022,2,41,HUILA,41378,LA ARGENTINA,633,13714,"4,62"
2022,4,23,CÓRDOBA,23068,AYAPEL,4715,48476,"9,73"
2022,3,15,BOYACÁ,15762,SORA,69,3178,"2,17"
2022,1,41,HUILA,41548,PITAL,489,14623,"3,34"
2023,1,85,CASANARE,85263,PORE,232,12681,"1,83"
2022,1,68,SANTANDER,68207,CONCEPCIÓN,433,5948,"7,28"
2021,3,91,AMAZONAS,91798,TARAPACÁ,21,4159,"0,50"
2023,2,68,SANTANDER,68524,PALMAS DEL SOCORRO,14,2622,"0,53"
2022,3,47,MAGDALENA,47189,CIÉNAGA,11067,130000,"8,51"
2022,4,41,HUILA,41132,CAMPOALEGRE,2174,32709,"6,65"
2021,2,15,BOYACÁ,15272,FIRAVITOBA,368,6961,"5,29"
2023,2,05,ANTIOQUIA,05234,DABEIBA,1748,24377,"7,17"
2021,1,70,SUCRE,70418,LOS PALMITOS,353,23972,"1,47"
2022,4,52,NARIÑO,52240,CHACHAGÜÍ,1877,15769,"11,90"
2022,1,52,NARIÑO,52399,LA UNIÓN,399,33028,"1,21"
2022,2,23,CÓRDOBA,23807,TIERRALTA,8010,97997,"8,17"
2021,1,25,CUNDINAMARCA,25867,VIANÍ,40,4738,"0,84"
